network_type,num_agents,signal_accuracy,seed,final_accuracy,learning_rate,asymptotic_accuracy,time_to_0.6,time_to_0.7,time_to_0.8,time_to_0.9,time_to_1.0,theoretical_rate,rate_ratio,exceeds_bound
complete,3,0.7,0,0.6666666666666666,0.0010000003401784,1.0972596000481485,1,3,3.0,3.0,3.0,0.35,0.002857143829081143,False
complete,3,0.9,0,0.6666666666666666,0.0010000003401784,1.0972596000481485,1,3,3.0,3.0,3.0,0.45,0.002222222978174222,False
complete,10,0.7,0,0.7,0.0187041832682987,1.3135441397341077,1,10,,,,0.35,0.05344052362371057,False
complete,10,0.9,0,0.7,0.0187041832682987,1.3135441397341077,1,10,,,,0.45,0.04156485170733044,False
line,3,0.7,0,0.6666666666666666,0.0010000003401784,1.0972596000481485,1,3,3.0,3.0,3.0,0.03888888888888889,0.025714294461730285,False
line,3,0.9,0,0.6666666666666666,0.0010000003401784,1.0972596000481485,1,3,3.0,3.0,3.0,0.05,0.020000006803567998,False
line,10,0.7,0,0.5,0.0010000000001223,1.0472595998445051,1,1,,,,0.0034999999999999996,0.2857142857492286,False
line,10,0.9,0,0.5,0.0010000000001223,1.0472595998445051,1,1,,,,0.0045000000000000005,0.22222222224939997,False
